m49,VariableGroup,Subgroup,Variable,Area,Year,Value,Unit,Symbol,IsAggregate
40,Water use,Water withdrawal by sector,Municipal water withdrawal as % of total withdrawal,Austria,2019,25.66878981,%,E,false
40,Water use,Water withdrawal by sector,Municipal water withdrawal as % of total withdrawal,Austria,2020,15.25023693,%,E,false
40,Water use,Water withdrawal by sector,Municipal water withdrawal as % of total withdrawal,Austria,2021,1.434978336,%,E,false
40,Water use,Water withdrawal by sector,Municipal water withdrawal as % of total withdrawal,Austria,2022,1.450792954,%,E,false
112,Water use,Water withdrawal by sector,Municipal water withdrawal as % of total withdrawal,Belarus,2019,40.72164948,%,E,false
112,Water use,Water withdrawal by sector,Municipal water withdrawal as % of total withdrawal,Belarus,2020,41.30925508,%,E,false
112,Water use,Water withdrawal by sector,Municipal water withdrawal as % of total withdrawal,Belarus,2021,42.03508772,%,E,false
112,Water use,Water withdrawal by sector,Municipal water withdrawal as % of total withdrawal,Belarus,2022,42.43281471,%,E,false
56,Water use,Water withdrawal by sector,Municipal water withdrawal as % of total withdrawal,Belgium,2019,19.8374558,%,E,false
56,Water use,Water withdrawal by sector,Municipal water withdrawal as % of total withdrawal,Belgium,2020,21.0274394,%,E,false
56,Water use,Water withdrawal by sector,Municipal water withdrawal as % of total withdrawal,Belgium,2021,20.12561468,%,E,false
56,Water use,Water withdrawal by sector,Municipal water withdrawal as % of total withdrawal,Belgium,2022,15.03803239,%,E,false
100,Water use,Water withdrawal by sector,Municipal water withdrawal as % of total withdrawal,Bulgaria,2019,15.99040944,%,E,false
100,Water use,Water withdrawal by sector,Municipal water withdrawal as % of total withdrawal,Bulgaria,2020,16.86456027,%,E,false
100,Water use,Water withdrawal by sector,Municipal water withdrawal as % of total withdrawal,Bulgaria,2021,16.00153492,%,E,false
100,Water use,Water withdrawal by sector,Municipal water withdrawal as % of total withdrawal,Bulgaria,2022,15.39469425,%,E,false
124,Water use,Water withdrawal by sector,Municipal water withdrawal as % of total withdrawal,Canada,2019,13.49579816,%,E,false
124,Water use,Water withdrawal by sector,Municipal water withdrawal as % of total withdrawal,Canada,2020,13.5322982,%,E,false
124,Water use,Water withdrawal by sector,Municipal water withdrawal as % of total withdrawal,Canada,2021,13.47708149,%,E,false
124,Water use,Water withdrawal by sector,Municipal water withdrawal as % of total withdrawal,Canada,2022,13.49314119,%,E,false
191,Water use,Water withdrawal by sector,Municipal water withdrawal as % of total withdrawal,Croatia,2019,43.93179539,%,E,false
191,Water use,Water withdrawal by sector,Municipal water withdrawal as % of total withdrawal,Croatia,2020,42.97029703,%,E,false
191,Water use,Water withdrawal by sector,Municipal water withdrawal as % of total withdrawal,Croatia,2021,43.91217565,%,E,false
191,Water use,Water withdrawal by sector,Municipal water withdrawal as % of total withdrawal,Croatia,2022,45.76771654,%,E,false
203,Water use,Water withdrawal by sector,Municipal water withdrawal as % of total withdrawal,Czechia,2019,42.82868526,%,E,false
203,Water use,Water withdrawal by sector,Municipal water withdrawal as % of total withdrawal,Czechia,2020,46.04685212,%,E,false
203,Water use,Water withdrawal by sector,Municipal water withdrawal as % of total withdrawal,Czechia,2021,46.47887324,%,E,false
203,Water use,Water withdrawal by sector,Municipal water withdrawal as % of total withdrawal,Czechia,2022,43.29183956,%,E,false
408,Water use,Water withdrawal by sector,Municipal water withdrawal as % of total withdrawal,Democratic People's Republic of Korea,2019,10.42759131,%,I,false
408,Water use,Water withdrawal by sector,Municipal water withdrawal as % of total withdrawal,Democratic People's Republic of Korea,2020,10.42759131,%,I,false
408,Water use,Water withdrawal by sector,Municipal water withdrawal as % of total withdrawal,Democratic People's Republic of Korea,2021,10.42759131,%,I,false
408,Water use,Water withdrawal by sector,Municipal water withdrawal as % of total withdrawal,Democratic People's Republic of Korea,2022,10.42759131,%,I,false
208,Water use,Water withdrawal by sector,Municipal water withdrawal as % of total withdrawal,Denmark,2019,40.95087321,%,E,false
208,Water use,Water withdrawal by sector,Municipal water withdrawal as % of total withdrawal,Denmark,2020,42.45495246,%,E,false
208,Water use,Water withdrawal by sector,Municipal water withdrawal as % of total withdrawal,Denmark,2021,40.61887162,%,E,false
208,Water use,Water withdrawal by sector,Municipal water withdrawal as % of total withdrawal,Denmark,2022,40.96826671,%,E,false
30,Water use,Water withdrawal by sector,Municipal water withdrawal as % of total withdrawal,Eastern Asia,2019,18.77297787,%,E,true
30,Water use,Water withdrawal by sector,Municipal water withdrawal as % of total withdrawal,Eastern Asia,2020,19.81234156,%,E,true
30,Water use,Water withdrawal by sector,Municipal water withdrawal as % of total withdrawal,Eastern Asia,2021,19.81802666,%,E,true
30,Water use,Water withdrawal by sector,Municipal water withdrawal as % of total withdrawal,Eastern Asia,2022,19.81802666,%,E,true
818,Water use,Water withdrawal by sector,Municipal water withdrawal as % of total withdrawal,Egypt,2019,13.87096774,%,I,false
818,Water use,Water withdrawal by sector,Municipal water withdrawal as % of total withdrawal,Egypt,2020,13.87096774,%,I,false
818,Water use,Water withdrawal by sector,Municipal water withdrawal as % of total withdrawal,Egypt,2021,13.87096774,%,I,false
818,Water use,Water withdrawal by sector,Municipal water withdrawal as % of total withdrawal,Egypt,2022,13.87096774,%,I,false
233,Water use,Water withdrawal by sector,Municipal water withdrawal as % of total withdrawal,Estonia,2019,7.755605025,%,E,false
233,Water use,Water withdrawal by sector,Municipal water withdrawal as % of total withdrawal,Estonia,2020,7.379314646,%,E,false
233,Water use,Water withdrawal by sector,Municipal water withdrawal as % of total withdrawal,Estonia,2021,7.209799724,%,E,false
233,Water use,Water withdrawal by sector,Municipal water withdrawal as % of total withdrawal,Estonia,2022,5.391902324,%,E,false
150,Water use,Water withdrawal by sector,Municipal water withdrawal as % of total withdrawal,Europe,2019,26.01413116,%,E,true
150,Water use,Water withdrawal by sector,Municipal water withdrawal as % of total withdrawal,Europe,2020,26.38619421,%,E,true
150,Water use,Water withdrawal by sector,Municipal water withdrawal as % of total withdrawal,Europe,2021,26.31521216,%,E,true
150,Water use,Water withdrawal by sector,Municipal water withdrawal as % of total withdrawal,Europe,2022,26.28222569,%,E,true
246,Water use,Water withdrawal by sector,Municipal water withdrawal as % of total withdrawal,Finland,2019,14.28571429,%,E,false
246,Water use,Water withdrawal by sector,Municipal water withdrawal as % of total withdrawal,Finland,2020,14.28571429,%,I,false
246,Water use,Water withdrawal by sector,Municipal water withdrawal as % of total withdrawal,Finland,2021,17.15642543,%,E,false
246,Water use,Water withdrawal by sector,Municipal water withdrawal as % of total withdrawal,Finland,2022,17.86301213,%,E,false
250,Water use,Water withdrawal by sector,Municipal water withdrawal as % of total withdrawal,France,2019,20.25416373,%,E,false
250,Water use,Water withdrawal by sector,Municipal water withdrawal as % of total withdrawal,France,2020,21.71827013,%,E,false
250,Water use,Water withdrawal by sector,Municipal water withdrawal as % of total withdrawal,France,2021,21.57840156,%,E,false
250,Water use,Water withdrawal by sector,Municipal water withdrawal as % of total withdrawal,France,2022,21.57840156,%,I,false
276,Water use,Water withdrawal by sector,Municipal water withdrawal as % of total withdrawal,Germany,2019,41.53374175,%,E,false
276,Water use,Water withdrawal by sector,Municipal water withdrawal as % of total withdrawal,Germany,2020,41.53374175,%,I,false
276,Water use,Water withdrawal by sector,Municipal water withdrawal as % of total withdrawal,Germany,2021,41.53374175,%,I,false
276,Water use,Water withdrawal by sector,Municipal water withdrawal as % of total withdrawal,Germany,2022,41.53374175,%,I,false
300,Water use,Water withdrawal by sector,Municipal water withdrawal as % of total withdrawal,Greece,2019,16.67820069,%,E,false
300,Water use,Water withdrawal by sector,Municipal water withdrawal as % of total withdrawal,Greece,2020,16.66666667,%,E,false
300,Water use,Water withdrawal by sector,Municipal water withdrawal as % of total withdrawal,Greece,2021,16.72449688,%,E,false
300,Water use,Water withdrawal by sector,Municipal water withdrawal as % of total withdrawal,Greece,2022,16.74607902,%,E,false
348,Water use,Water withdrawal by sector,Municipal water withdrawal as % of total withdrawal,Hungary,2019,14.70877597,%,E,false
348,Water use,Water withdrawal by sector,Municipal water withdrawal as % of total withdrawal,Hungary,2020,14.20299875,%,E,false
348,Water use,Water withdrawal by sector,Municipal water withdrawal as % of total withdrawal,Hungary,2021,14.1025641,%,E,false
348,Water use,Water withdrawal by sector,Municipal water withdrawal as % of total withdrawal,Hungary,2022,13.28946079,%,E,false
352,Water use,Water withdrawal by sector,Municipal water withdrawal as % of total withdrawal,Iceland,2019,28.7459576,%,E,false
352,Water use,Water withdrawal by sector,Municipal water withdrawal as % of total withdrawal,Iceland,2020,28.7459576,%,E,false
352,Water use,Water withdrawal by sector,Municipal water withdrawal as % of total withdrawal,Iceland,2021,28.7459576,%,E,false
352,Water use,Water withdrawal by sector,Municipal water withdrawal as % of total withdrawal,Iceland,2022,28.7459576,%,E,false
372,Water use,Water withdrawal by sector,Municipal water withdrawal as % of total withdrawal,Ireland,2019,64.14013154,%,E,false
372,Water use,Water withdrawal by sector,Municipal water withdrawal as % of total withdrawal,Ireland,2020,63.92487047,%,E,false
372,Water use,Water withdrawal by sector,Municipal water withdrawal as % of total withdrawal,Ireland,2021,64.01012018,%,E,false
372,Water use,Water withdrawal by sector,Municipal water withdrawal as % of total withdrawal,Ireland,2022,66.09683204,%,E,false
